insurer_id,name,discovered_document_urls,unique_acquired_pdfs,preserved_pdf_pages,products_and_versions,variants_and_addons,independent_rule_denominator,rule_coverage_percent,reviewed_rules,recommendable_configurations,expected_bundle_inventory
star,Star,322,20,514,,,,,0,0,incomplete
care,Care,0,0,0,,,,,0,0,incomplete
niva-bupa,Niva Bupa,205,205,5059,,,,,0,0,incomplete
aditya-birla,Aditya Birla Health,26,24,556,,,,,0,0,incomplete
manipalcigna,ManipalCigna,18,13,171,,,,,0,0,incomplete
galaxy,Galaxy,11,11,49,,,,,0,0,incomplete
narayana,Narayana,26,25,268,,,,,0,0,incomplete
new-india,New India,197,168,1839,,,,,0,0,incomplete
national,National,139,132,1276,,,,,0,0,incomplete
oriental,Oriental,0,0,0,,,,,0,0,incomplete
united-india,United India,0,0,0,,,,,0,0,incomplete
hdfc-ergo,HDFC ERGO,104,80,2414,,,,,0,0,incomplete
icici-lombard,ICICI Lombard,0,0,0,,,,,0,0,incomplete
bajaj-general,Bajaj General,9,9,3076,,,,,0,0,incomplete
tata-aig,Tata AIG,808,550,10981,,,,,0,0,incomplete
sbi-general,SBI General,835,394,3818,,,,,0,0,incomplete
go-digit,Go Digit,471,210,5102,,,,,0,0,incomplete
acko,ACKO,384,115,2332,,,,,0,0,incomplete
zurich-kotak,Zurich Kotak,91,42,1004,,,,,0,0,incomplete
generali-central,Generali Central,704,322,5058,,,,,0,0,incomplete
